ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,7,14,"Council Regulation amending Regulation (EC) No 1255/1999 on the common organisation of the market in milk and milk products",V,,,"32000R1670 ",1999,608,COM,1999,CNS,246,,,,,
2000,7,15,"Council Regulation amending Regulation (EC) No 2742/1999 fixing for 2000 the fishing opportunities and associated conditions for certain fishstocks and groups of fishstocks, applicable in Community waters and, for Community vessels, in waters where limitations in catch are required",V,,,32000R1696,2000,273,COM,NULL,CS,NULL,,,,,
2000,7,16,"Directive of the European Parliament and of the Council on end-of-life vehicles",V,,,"32000L0053 ",1997,358,COM,1997,COD,194,,,,,
2000,7,17,"Council Regulation amending Regulation (EC) No 1251/1999 establishing a support system for producers of certain arable crops to include flax and hemp grown for fibre",U,,,32000R1672,1999,576-1,COM,1999,CNS,236,,,,ProcedureEcrite=Y,
2000,7,18,"Council Regulation on the common organisation of the markes in flax and hemp grown for fibre",V,BE,,32000R1673,1999,576-2,COM,1999,CNS,237,,,,ProcedureEcrite=Y,
2000,9,1,"Decision of the European Parliament and of the Council amending Decision 96/411/EC on improving Community agricultural statistics (5.9.00)",V,,,32000D2298,1999,332,COM,1999,COD,137,,Y,,,
2000,9,2,"Regulation of the European Parliament and of the Council on measures to promote the conservation and sustainable management of tropical forests and other forests in developing countries",V,,,32000R2494,1999,41,COM,1999,COD,15,,,,ProcedureEcrite=Y,
2000,9,3,"Regulation of the European Parliament and of the Council on measures to promote the full integration of the environmental dimension in the development process of developing countries",V,,,32000R2493,1999,36,COM,1999,COD,20,,,,ProcedureEcrite=Y,
2000,9,4,"Directive of the European Parliament and of the Council establishing a framework for Community action in the field of water policy",V,,,"32000L0060 ",1997,49,COM,1997,COD,67,,,,ProcedureEcrite=Y,
2000,9,5,"Directive of the European Parliament and of the Council on port reception facilities for ship-generated waste and cargo residues",V,,,32000L0059,1998,452,COM,1998,COD,249,,,,ProcedureEcrite=Y,
2000,9,6,"Council Regulation amending Annex 4 to Protocol No 9 to the 1994 Act of Accession and Commission Regulation (EC) No 3298/94 with regard to the system of ecopoints for heavy goods vehicles transiting through Austria",V,BE,AT,"32000R2012 ",2000,395,COM,NULL,CS,NULL,,,,ProcedureEcrite=Y,
2000,9,7,"Directive of the European Parliament and of the Council amending Council Directive 94/55/EC on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road (21.9.2000)",V,,,32000L0061,1999,158,COM,1999,COD,83,,Y,,,
2000,9,8,"Directive 2000/62/EC of the European Parliament and of the Council of 10 October 2000 amending Council Directive 96/49/EC on the approximation of the laws of the Member States with regard to the transport of dangerous goods by rail",V,,,32000L0062,1999,157,COM,1999,COD,87,,Y,,,
2000,9,9,"Council Regulation on budgetary discipline",U,,,"32000R2040 ",1999,364,COM,1999,CNS,151,,,,,
2000,9,10,"Council Regulation amending Regulation (EEC) No 302/93 on the establishment of a European Monitoring Centre for Drugs and Drug Addiction",U,,,32000R2220,1999,430,COM,1999,CNS,187,,,,,
2000,9,11,"Council Decision establishing a European Refugee Fund",U,,,"32000D0596 ",1999,686,COM,1999,CNS,274,,,,,
2000,9,12,"Regulation of the European Parliament and of the Council amending the Regulation on substances that deplete the ozone layer, as regards the base year for the allocation of quotas of hydrochlorofluorocarbons",V,,,32000R2039,2000,426,COM,2000,COD,170,,,,,
2000,9,13,"Regulation of the European Parliament and of the Council amending the Regulation on substances that deplete the ozone layer, as regards metered dose inhalers and medical drug pump",V,,,"32000R2038 ",2000,427,COM,2000,COD,175,,,,,
2000,9,14,"Council Decision on the system of the European Communities' own resources",U,,,32000D0597,1999,333,COM,1999,CNS,139,,,,,
2000,10,1,"Regulation of the European Parliament and of the Council modifying the common principles of the European System of national and regional accounts in the Community as concerns taxes and social contributions and amending Council Regulation (EC) No 2223/96 (3.10.2000)",V,,,32000R2516,1999,488,COM,1999,COD,200,,Y,,,
2000,10,2,"Regulation (EC) of the European Parliament and of the Council amending Council Regulation (EEC) 2913/92 establishing the Community Customs Code (5.10.2000)",U,,,32000R2700,1998,226-2,COM,1998,COD,134,,Y,,,
2000,10,3,"Council Directive amending Directive 77/388/EEC as regards the determination of the person liable for payment of value added tax",U,,,32000L0065,1998,660,COM,1998,CNS,312,,,,,
2000,10,4,"Council Decision concerning arrangements for cooperation between Financial Intelligence Units of the Member States in respect of exchanging information",V,,,"32000D0642 ",1999,5,JAI,1999,CNS,824,,,,,
